prompt,sql,database_name
Create 10 buckets for current equipment age. Provide a plot of equipment age buckets and average churn rate,"WITH data AS (
  SELECT 
    currentequipmentdays,
    churn,
    NTILE(10) OVER (ORDER BY currentequipmentdays) AS current_equipment_age_bucket,
  FROM 
    `mlchatagent-429005.telecom_churn.customer_data`
),
buckets AS (
  SELECT 
    SAFE_CAST(current_equipment_age_bucket AS BIGNUMERIC) AS current_equipment_age_bucket,
    SAFE_CAST(MIN(currentequipmentdays) OVER (PARTITION BY current_equipment_age_bucket) AS BIGNUMERIC) AS current_equipment_age_bucket_min,
    SAFE_CAST(MAX(currentequipmentdays) OVER (PARTITION BY current_equipment_age_bucket) AS BIGNUMERIC) AS current_equipment_age_bucket_max,
churn
  FROM 
    data
)
SELECT 
  current_equipment_age_bucket,
  current_equipment_age_bucket_min,
  current_equipment_age_bucket_max,
  avg(churn) as avg_churn
FROM 
  buckets
GROUP BY 
  current_equipment_age_bucket,
  current_equipment_age_bucket_min,
  current_equipment_age_bucket_max",telecom_churn
create buckets of customer equipment age. Then calculate average churn and average predicted churn across the buckets and provide me a visual,"SELECT CASE WHEN currentequipmentdays <= 180 THEN '0-180 days' WHEN currentequipmentdays BETWEEN 181 AND 365 THEN '181-365 days' WHEN currentequipmentdays BETWEEN 366 AND 547 THEN '366-547 days' WHEN currentequipmentdays BETWEEN 548 AND 730 THEN '548-730 days' ELSE '730+ days' END AS equipment_age_bucket, AVG(churn) AS avg_churn, AVG(prediction) AS avg_predicted_churn FROM mlchatagent-429005.telecom_churn.customer_data GROUP BY 1",telecom_churn
create buckets of months in service . Then calculate average churn and average predicted churn across the buckets and provide me a visual,"SELECT t1.monthsinservice_bucket, AVG(t1.churn) AS avg_churn, AVG(t1.prediction) AS avg_predicted_churn FROM ( SELECT t.monthsinservice, t.churn, t.prediction, CASE WHEN t.monthsinservice BETWEEN 0 AND 12 THEN '0-12 Months' WHEN t.monthsinservice BETWEEN 13 AND 24 THEN '13-24 Months' WHEN t.monthsinservice BETWEEN 25 AND 36 THEN '25-36 Months' WHEN t.monthsinservice BETWEEN 37 AND 48 THEN '37-48 Months' ELSE '48+ Months' END AS monthsinservice_bucket FROM mlchatagent-429005.telecom_churn.customer_data AS t ) AS t1 GROUP BY 1 ORDER BY t1.monthsinservice_bucket",telecom_churn
Provide me a visual of average churn rate and average predicted churn rate across different service city. Do this for onlly serice cities with atleast 50 customers,"SELECT service_city, AVG(churn) AS avg_churn_rate, AVG(prediction) AS avg_predicted_churn_rate FROM mlchatagent-429005.telecom_churn.customer_data GROUP BY service_city HAVING count(customerid) >= 50",telecom_churn
"Get all the SHAP data of customers with with age more than 50
    filter by with age more than 50
    select all columns","SELECT t1.* FROM mlchatagent-429005.telecom_churn.customer_shap_data t1 join 
`mlchatagent-429005.telecom_churn.customer_data` t2 on t1.customerid=t2.customerid
 WHERE t2.agehh1 > 50",telecom_churn
"Get all the SHAP data of customers with with equipment age more than 500 and have children at home
    filter by with currentequipmentage more than 500, childreninhh is TRUE
    select all columns","SELECT t1.* FROM mlchatagent-429005.telecom_churn.customer_shap_data t1 join 
`mlchatagent-429005.telecom_churn.customer_data` t2 on t1.customerid=t2.customerid
 WHERE t2.currentequipmentdays > 500 and t2.childreninhh=TRUE",telecom_churn
"Get all the SHAP data of customers with revenue per minute more than 0.5 and credit rating in highest and high
    filter by with  revenue per minute more than 0.5 , credit rating in highest and high
    select all columns","SELECT t1.* FROM mlchatagent-429005.telecom_churn.customer_shap_data t1 join 
`mlchatagent-429005.telecom_churn.customer_data` t2 on t1.customerid=t2.customerid
 WHERE t2.revenue_per_minute>0.5 and t2.creditrating in ('1-highest','2-high')",telecom_churn
What is the average age of customers who have higher churn because of revenue_per_minute?,"select avg(t1.agehh1) as avg_age, count(*) as count from `mlchatagent-429005.telecom_churn.customer_data` t1
join 
`mlchatagent-429005.telecom_churn.customer_shap_data` t2 on t1.customerid=t2.customerid
 WHERE t2.shapvalue_revenue_per_minute >0.5",telecom_churn
What is the  age distribution of customers who have higher churn because of revenue_per_minute?,"SELECT t1.age_bucket,AVG(t1.churn) AS avg_churn,AVG(t1.prediction) AS avg_predicted_churn FROM ( SELECT t.agehh1, t.churn, t.prediction, CASE WHEN t.agehh1 BETWEEN 0 AND 18 THEN '0-18 Years' WHEN t.agehh1 BETWEEN 19 AND 30 THEN '19-30 Years' WHEN t.agehh1 BETWEEN 30 AND 50 THEN '31 to 50 Years' WHEN t.agehh1 BETWEEN 50 AND 70 THEN '50-70 Years' ELSE '70+ Years' END AS age_bucket FROM mlchatagent-429005.telecom_churn.customer_data AS t ) AS t1 GROUP BY 1 ORDER BY t1.age_bucket",telecom_churn
 What are the top 10 customers with highest churn probability?,"SELECT t1.customerid, t1.prediction AS churn_probability FROM mlchatagent-429005.telecom_churn.customer_dataAS t1 
ORDER BY churn_probability DESC LIMIT 10",telecom_churn
What is the churn probability distribution for customers with revenue_per_minute more than 0.5?,"SELECT t1.churn_probability_bucket, COUNT(t1.customerid) AS count, MIN(t1.prediction) AS churn_probability_bucket_min, MAX(t1.prediction) AS churn_probability_bucket_max FROM ( SELECT t.customerid, t.prediction, CASE WHEN t.prediction > 0.9 THEN '0.9-1' WHEN t.prediction BETWEEN 0.8 AND 0.9 THEN '0.8-0.9' WHEN t.prediction BETWEEN 0.7 AND 0.8 THEN '0.7-0.8' WHEN t.prediction BETWEEN 0.6 AND 0.7 THEN '0.6-0.7' WHEN t.prediction BETWEEN 0.5 AND 0.6 THEN '0.5-0.6' WHEN t.prediction BETWEEN 0.4 AND 0.5 THEN '0.4-0.5' WHEN t.prediction BETWEEN 0.3 AND 0.4 THEN '0.3-0.4' ELSE '0.3-' END AS churn_probability_bucket FROM `mlchatagent-429005.telecom_churn.customer_data` AS t WHERE t.revenue_per_minute > 0.5 ) AS t1 GROUP BY 1",telecom_churn
Create a vizualization of churn probability distribution for customers with revenue_per_minute more than 0.5.,"SELECT t1.churn_probability_bucket, COUNT(t1.customerid) AS count, MIN(t1.prediction) AS churn_probability_bucket_min, MAX(t1.prediction) AS churn_probability_bucket_max FROM ( SELECT t.customerid, t.prediction, CASE WHEN t.prediction > 0.9 THEN '0.9-1' WHEN t.prediction BETWEEN 0.8 AND 0.9 THEN '0.8-0.9' WHEN t.prediction BETWEEN 0.7 AND 0.8 THEN '0.7-0.8' WHEN t.prediction BETWEEN 0.6 AND 0.7 THEN '0.6-0.7' WHEN t.prediction BETWEEN 0.5 AND 0.6 THEN '0.5-0.6' WHEN t.prediction BETWEEN 0.4 AND 0.5 THEN '0.4-0.5' WHEN t.prediction BETWEEN 0.3 AND 0.4 THEN '0.3-0.4' ELSE '0.3-' END AS churn_probability_bucket FROM `mlchatagent-429005.telecom_churn.customer_data` AS t WHERE t.revenue_per_minute > 0.5 ) AS t1 GROUP BY 1",telecom_churn
